study_id,measurement_id,temperature_degC,depth_m,to_bottom,Unnamed: 5,Unnamed: 6,Unnamed: 7
12,26,-4.8055615,0.9257504999999999,,,,
12,26,-4.6589089999999995,2.0136745,,,,
12,26,-4.482312,3.0403888,,,,
12,26,-3.9735866,3.9391842000000006,,,,
12,26,-3.2421193,5.015294,,,,
12,26,-2.4303946,6.0089760000000005,,,,
12,26,-2.0118058000000003,7.030802,,,,
12,26,-1.7145181,7.994472999999999,,,,
12,26,-1.3262798999999998,8.996711,,,,
12,26,-0.5547857,10.011407,,,,
12,27,-3.6404066,0.012882981000000002,,,,
12,27,-2.8188023999999996,0.96216595,,,,
12,27,-2.248765,2.0171165,,,,
12,27,-2.2032475,3.0423787,,,,
12,27,-1.7044013,3.9780347000000003,,,,
12,27,-1.4169931,4.9783087,,,,
12,27,-1.2000643999999998,6.000121599999999,,,,
12,27,-1.0436337,7.023152400000001,,,,
12,27,-0.44885486,8.983056,,,,
12,27,-0.6252651,9.992662,,,,
12,28,-3.9125462,0.038479876,,,,
12,28,-3.2419837000000005,1.0310442,,,,
12,28,-3.1561341,2.0554948,,,,
12,28,-2.9295292,2.9966288,,,,
12,28,-2.4608302,3.9530127,,,,
12,28,-1.9110605999999999,4.98825,,,,
12,28,-1.0538185,7.003236,,,,
12,28,-0.51933426,9.004595,,,,
12,28,-0.36310694,9.987388000000001,,,,
13,29,-11.247811,1.066948278,,,,
13,29,-12.999905,1.391808168,,,,
13,29,-12.797683000000001,1.712743066,,,,
13,29,-11.163146000000001,1.9906336480000002,,,,
13,29,-10.114479,2.2897848219999997,,,,
13,29,-9.1961,2.589197501,,,,
13,29,-8.667735,2.9295614139999997,,,,
13,29,-8.140219,3.22975922,,,,
13,29,-7.064178500000001,3.796639439,,,,
13,29,-6.60124,4.1237452,,,,
15,30,-0.0038096157,5.0093746,,,,
15,30,0.002507595,9.906486,,,,
15,30,-0.0064136568000000005,15.028007500000001,,,,
15,30,-0.015527801,20.0,,,,
15,31,-0.1558469,5.0195885,,,,
15,31,-0.06933866400000001,10.000633,,,,
15,31,-0.04208747,15.01811,,,,
15,31,-0.04450882,20.036009,,,,
15,32,0.0,5.035971,,,,
15,32,-0.12012012,9.928058,,,,
15,32,-0.8708709000000001,14.964027999999999,,,,
15,32,-0.8258257999999999,20.0,,,,
15,33,-11.114684,3.0386226,,,,
15,33,-14.262027,5.061740400000001,,,,
15,33,-14.393166,6.9358244000000004,,,,
15,33,-14.3024645,8.98194,,,,
15,33,-13.989544,11.029633500000001,,,,
15,33,-13.930462,13.018706,,,,
15,33,-13.934619,14.893692000000001,,,,
15,33,-13.812425,17.053669,,,,
15,33,-13.816456,18.871838,,,,
15,33,-13.821116,20.974094,,,,
15,33,-13.920635999999998,22.905222,,,,
15,33,-13.893552,25.007704,,,,
15,33,-13.866216,26.99655,,,,
15,33,-13.775514000000001,29.042665000000003,,,,
15,34,-13.243262,1.0307895,,,,
15,34,-14.988670999999998,1.9326894000000001,,,,
15,34,-14.764141,2.9891693999999998,,,,
15,34,-13.495937,4.0174446,,,,
15,34,-10.553106,5.984242,,,,
15,34,-7.2046943,7.981977499999999,,,,
15,34,-4.9579268,10.007809,,,,
15,34,-3.6380534,11.941373,,,,
15,34,-2.8987226,13.994534,,,,
15,35,-10.582819,1.0220469,,,,
