study_id,measurement_id,temperature_degC,depth_m,Unnamed: 4,Unnamed: 5,Unnamed: 6
15,4,-14.013867000000001,11.007292,,,
15,4,-13.953903,12.992529,,,
15,4,-13.957431,14.977406,,,
15,4,-13.834176000000001,17.076424,,,
15,4,-13.86945,19.061121,,,
15,4,-13.8413315,21.10289,,,
15,4,-13.939895000000002,22.973804,,,
15,4,-13.848486999999999,25.129354,,,
15,4,-13.851913,27.057522,,,
15,4,-13.823595000000001,28.985867,,,
15,5,-13.381817999999999,0.9696969999999999,,,
15,5,-15.069091,1.9393939999999998,,,
15,5,-15.010909,3.030303,,,
15,5,-13.672728,4.0,,,
15,5,-10.647273,6.0,,,
15,5,-7.447273,7.969697,,,
15,5,-5.12,9.969697,,,
15,5,-3.6654546000000003,11.939394,,,
15,5,-2.909091,14.030303,,,
15,6,-10.634601,0.9817033000000002,,,
15,6,-10.641743,2.0142412,,,
15,6,-10.474553,2.9863717999999997,,,
15,6,-10.133662,3.989201,,,
15,6,-9.10427,6.025889,,,
15,6,-8.653951,7.97037,,,
15,6,-8.435722,9.944778999999999,,,
15,6,-8.333853999999999,11.979707000000001,,,
15,6,-8.347716,13.984045000000002,,,
15,7,-2.54717,2.3268697,,,
15,7,-1.0916442,3.1578948,,,
15,7,-0.44474393,3.6565095999999997,,,
15,7,-0.24258760000000001,4.819944400000001,,,
15,7,-0.44474393,6.1495843,,,
15,7,-1.1725067,8.144044000000001,,,
15,7,-1.981132,10.138504,,,
15,7,-2.708895,11.966759,,,
15,7,-2.7897575,13.961219,,,
15,7,-2.4663072,18.116343,,,
15,7,-1.0107815999999998,28.088642,,,
15,7,-1.981132,38.227146000000005,,,
15,7,-5.619946,58.171744999999994,,,
15,7,-7.964959599999999,78.44875,,,
15,7,-8.733153,98.22715,,,
15,7,-8.61186,118.00554,,,
16,1,-9.118269999999999,9.832344,,,
16,1,-8.612353,20.040526999999997,,,
16,1,-9.495749,30.041816999999998,,,
16,1,-10.318810000000001,39.771167999999996,,,
16,1,-10.698857,49.74987,,,
16,1,-10.937897999999999,59.99148,,,
16,1,-10.9556,69.68469,,,
16,1,-11.013501,79.64894,,,
16,1,-11.031068,89.880615,,,
16,1,-10.927897999999999,99.83764000000001,,,
16,1,-10.941343,126.49238600000001,,,
16,2,-6.963661999999999,10.812597,,,
16,2,-7.22412,15.939727,,,
16,2,-7.806790400000001,20.812079999999998,,,
16,2,-8.38946,25.684435,,,
16,2,-8.972062,30.82602,,,
16,2,-9.131917999999999,35.6794,,,
16,2,-9.231304,40.7993,,,
16,2,-9.330689999999999,45.919205,,,
16,2,-9.490547,50.772587,,,
16,2,-9.670469,55.896103000000004,,,
16,2,-9.870593,60.751290000000004,,,
16,2,-10.130983,66.14765,,,
16,2,-10.351241,71.00374599999999,,,
16,2,-10.350634,73.42681999999999,,,
16,2,-10.631226,78.554855,,,
16,2,-10.730815,82.867065,,,
16,2,-10.969788000000001,93.37791,,,
16,2,-11.069242,98.22858000000001,,,
16,2,-11.007421,103.87971,,,
16,2,-11.026339,108.72677,,,
16,2,-10.944721000000001,113.030846,,,
17,1,-7.1912009999999995,0.0,,,
17,1,-8.037225,0.1875,,,
17,1,-8.925549499999999,0.328125,,,
17,1,-9.6446705,0.515625,,,
17,1,-10.504794,0.671875,,,
17,1,-11.322617,0.796875,,,
17,1,-12.084039,0.984375,,,
17,1,-12.901861,1.140625,,,
17,1,-13.606881,1.328125,,,
17,1,-14.001692000000002,1.484375,,,
17,1,-14.170897,1.578125,,,
17,1,-14.368301999999998,1.796875,,,
17,1,-14.452905,2.046875,,,
17,1,-14.509306,2.328125,,,
17,1,-14.509306,2.609375,,,
17,1,-14.424704,2.921875,,,
17,1,-14.340101,3.234375,,,
17,1,-14.170897,3.703125,,,
17,1,-13.945291000000001,4.171875,,,
17,1,-13.776086,4.640625,,,
17,1,-13.550479999999999,5.078125,,,
17,1,-13.240271,5.515625,,,
17,1,-12.930062,5.984375,,,
17,1,-12.676255000000001,6.453125,,,
17,1,-12.337846,6.890625,,,
17,1,-12.112239,7.390625,,,
17,1,-11.773829,7.921875,,,
17,1,-11.689227,8.296875,,,
17,1,-11.5482235,9.046875,,,
17,1,-11.407219,9.765625,,,
17,1,-11.407219,10.390625,,,
17,1,-11.407219,11.078125,,,
17,1,-11.407219,11.828125,,,
17,1,-11.407219,12.546875,,,
17,1,-11.407219,13.296875,,,
17,1,-11.491822,14.078125,,,
17,1,-11.491822,14.515625,,,
17,1,-11.491822,14.890625,,,
18,1,-5.6081223,5.2211885,,,
18,1,-4.629293,11.350636,,,
18,1,-1.1362895,53.091602,,,
18,1,-0.05546982,104.0968,,,
18,1,-0.0347351,151.84395,,,
18,1,-0.04621008,203.89105,,,
18,1,-0.04146945,254.98189,,,
18,2,-0.01484216,14.803316,,,
18,2,0.005759645999999999,61.11801,,,
18,2,-0.02219679,111.25648000000001,,,
18,2,-0.09795828,173.33594,,,
18,2,-0.19117592,223.0021,,,
18,2,-0.21904375,274.09555,,,
18,2,-0.24797489,313.72934,,,
18,2,-0.24700019,324.23400000000004,,,
18,3,-3.0964742000000003,6.048333,,,
18,3,-2.3734612,32.048035,,,
18,3,-0.86434555,74.2093,,,
18,3,-0.00589256,123.35994,,,
18,4,-3.5849807,8.933848,,,
18,4,-1.7513753,43.707029999999996,,,
18,4,-0.30809674,83.00171,,,
18,4,-0.02645006,103.68865,,,
18,4,-0.00810781,113.11419,,,
18,4,-0.02011446,132.9915,,,
18,5,-3.4864864,15.961801000000001,,,
18,5,-0.8756757,56.275580000000005,,,
18,5,-0.01621622,96.38472,,,
18,5,-0.01621622,107.23056000000001,,,
18,6,-4.1675677,14.529330999999999,,,
18,6,-1.2648648999999998,55.661663,,,
18,6,-0.01621622,95.97544,,,
18,6,-0.01621622,106.00273,,,
19,1,-8.994846,9.689953,,,
19,1,-7.0637479999999995,14.667974,,,
19,1,-4.579535,23.771585,,,
19,1,-3.335086,32.938774,,,
19,1,-2.090637,42.105965000000005,,,
19,1,-1.3053596,51.296703,,,
19,1,-0.7955853,60.501569999999994,,,
19,2,-7.0678997,11.032052,,,
19,2,-5.452047299999999,16.875999999999998,,,
19,2,-4.206076599999999,20.907042999999998,,,
19,2,-3.049934,26.804314,,,
19,2,-1.9852047,33.176136,,,
19,2,-1.7019814999999998,39.638603,,,
19,2,-0.96010566,45.119972,,,
19,2,-0.72391015,50.659991999999995,,,
19,2,-0.3022457,57.570354,,,
19,2,0.131572,75.150185,,,
19,2,0.05389696,87.68588000000001,,,
19,3,-4.2748957,10.484469,,,
19,3,-2.8886267999999995,15.862129000000001,,,
19,3,-1.8837293000000002,20.816042000000003,,,
19,3,-1.7183627000000001,27.529015,,,
19,3,-1.3310962,33.915802,,,
19,3,-1.1672411,39.099792,,,
19,3,-0.9701312,45.809853000000004,,,
19,3,-0.7739283,51.602524,,,
19,3,-0.48219359999999994,57.692253,,,
19,3,-0.41266099999999994,63.802369999999996,,,
19,3,-0.17836629,76.01386,,,
19,4,-5.712962,11.93189,,,
19,4,-4.820302,16.749092,,,
19,4,-4.0803747,21.888695000000002,,,
19,4,-3.5831337,29.200577000000003,,,
19,4,-3.0871422,35.285465,,,
19,4,-2.742634,42.919746,,,
19,5,-11.152822500000001,8.548364,,,
19,5,-10.282734,15.79923,,,
19,5,-9.668885000000001,22.764744,,,
19,5,-9.119288000000001,29.430271,,,
19,5,-8.759376,38.854202,,,
21,1,-5.179821,9.354856,,,
21,1,-4.0645940000000005,13.23024,,,
21,1,-2.750556,16.976353,,,
21,1,-1.7411869,21.344732,,,
21,2,-4.4769287,9.941908999999999,,,
21,2,-4.2893167000000005,14.828303,,,
21,2,-3.4254775,19.93571,,,
21,2,-1.1276813,30.252926000000002,,,
21,3,-6.2666254,10.126781,,,
21,3,-4.4727106,20.216959,,,
21,3,-2.2393432,35.062405,,,
21,3,-1.6142876,39.811188,,,
21,3,-1.0289539,44.683679999999995,,,
21,3,-0.48329195,49.802209999999995,,,
21,4,-5.773893,15.491807999999999,,,
21,4,-4.510373599999999,25.355875,,,
21,4,-2.1556307999999995,45.212357,,,
21,4,-1.0907714,55.572662,,,
21,4,-0.28006226,60.43728,,,
21,4,-0.03972194,64.58789,,,
23,1,-11.1,15.0,,,
23,2,-12.2,15.0,,,
23,3,-9.5,15.0,,,
23,4,-10.5,15.0,,,
24,1,-5.5789475,115.09971999999999,,,
24,1,-4.0526314,104.5584,,,
24,1,-3.5701754,100.2849,,,
24,1,-3.122807,95.4416,,,
24,1,-2.6842105,89.74359,,,
24,1,-2.3421052,85.18519,,,
24,1,-2.0175438000000003,80.34188,,,
24,1,-1.7017543000000002,74.643875,,,
24,1,-1.4561403999999998,69.80057,,,
24,1,-1.2631578,64.95727,,,
24,1,-1.0614035,59.82906,,,
24,1,-0.9035088,54.415955000000004,,,
24,1,-0.7280701999999999,49.28775,,,
24,1,-0.622807,44.159546,,,
24,1,-0.48245615,39.88604,,,
24,1,-0.42105263,35.327637,,,
24,1,-0.31578946,29.62963,,,
24,1,-0.11403509,19.94302,,,
24,1,-0.09649123,10.541310000000001,,,
24,1,-0.07894737,0.85470086,,,
24,2,-6.7017546,190.02848999999998,,,
24,2,-5.2894735,179.77208000000002,,,
24,2,-4.377193,170.08546,,,
24,2,-3.6052632000000004,160.11395,,,
24,2,-2.8596492000000002,149.85754,,,
24,2,-2.3421052,140.17094,,,
24,2,-1.7105263,129.91454,,,
24,2,-0.9736841999999999,110.25641,,,
24,2,-0.65789473,100.0,,,
24,2,-0.47368422,90.02849,,,
24,2,-0.28070176,80.34188,,,
24,2,-0.23684211,69.80057,,,
24,2,-0.19298245,59.54416,,,
24,2,-0.15789473,49.00285,,,
24,2,-0.13157895,39.031338,,,
24,2,-0.14912279999999997,29.344728000000003,,,
24,2,-0.14035088,19.65812,,,
24,2,-0.13157895,9.686608999999999,,,
24,2,-0.09649123,0.0,,,
24,3,-1.8245613999999997,140.17094,,,
24,3,-0.48245615,130.19943,,,
24,3,-0.24561404,119.94301999999999,,,
24,3,0.05263158,110.54131000000001,,,
24,3,0.14912279999999997,99.1453,,,
24,3,0.06140351,90.88319399999999,,,
24,3,0.06140351,78.91738000000001,,,
24,3,-0.9736841999999999,69.80057,,,
24,3,0.01754386,59.25926,,,
24,3,0.02631579,49.57265,,,
24,3,0.01754386,38.746437,,,
24,3,0.10526316,30.19943,,,
24,3,0.02631579,19.65812,,,
24,3,0.00877193,9.401710000000001,,,
24,3,-0.00877193,0.28490028,,,
25,1,0.002185663,-0.091709,,,
25,1,0.000516,1.8649988999999998,,,
25,1,0.001035729,3.882597,,,
25,1,0.000106,5.900361,,,
25,1,0.002059643,7.8566537,,,
25,1,-0.01941105,8.898515,,,
25,1,-0.11046066,9.887211,,,
25,1,-0.06061179,12.113147999999999,,,
25,2,0.000776,2.873798,,,
25,2,-0.0048951,8.988562,,,
25,2,-0.23085724,9.473024,,,
25,2,-0.31915802,9.880564999999999,,,
25,2,-0.16238888,10.840850999999999,,,
25,2,-0.08676098,11.87158,,,
25,2,-0.04014926,12.783354,,,
25,2,-0.00944758,13.819234,,,
25,2,-0.0062892,14.827701000000001,,,
25,2,-0.00166583,15.897140499999999,,,
25,2,0.000807,19.871029999999998,,,
25,2,-0.00065,25.465612,,,
26,1,-2.7440374,12.359355,,,
26,1,-2.615846,17.729843,,,
26,1,-2.5454842999999996,22.761892,,,
26,1,-2.4158227,24.612779999999997,,,
26,1,-2.3876779999999997,26.625598999999998,,,
26,1,-2.3595333,28.638417999999998,,,
26,1,-2.389218,30.3128,,,
26,1,-2.303314,32.831657,,,
26,2,-2.8630137,11.176471000000001,,,
26,2,-2.671233,16.050420000000003,,,
26,2,-2.4520547,21.092438,,,
26,2,-2.30137,26.134455,,,
26,2,-2.109589,30.840335999999997,,,
26,2,-2.109589,36.218486999999996,,,
26,2,-2.0958905,38.403362,,,
26,2,-2.0273972,40.7563,,,
26,2,-2.0547945,42.26891,,,
26,2,-2.041096,44.62185,,,
26,2,-1.9863013999999999,46.47059,,,
26,3,-2.555024,9.664804,,,
26,3,-2.2966506,14.860335000000001,,,
26,3,-2.167464,19.720670000000002,,,
26,3,-1.8947368999999998,24.9162,,,
26,3,-1.7655503000000001,30.111732,,,
26,3,-1.5933013999999999,34.97207,,,
26,3,-1.4210526,40.502792,,,
26,3,-1.4066986000000001,40.7563,,,
26,3,-1.2918661,49.888268,,,
26,3,-1.2488039,54.41340600000001,,,
26,3,-1.2488039,56.927376,,,
26,3,-1.2344496999999999,58.93855,,,
26,3,-1.2918661,61.284916,,,
26,3,-1.2057416,62.960896,,,
26,3,-1.2631578,65.13965999999999,,,
26,4,-1.8229665000000002,14.178273,,,
26,4,-1.1913875,24.038998,,,
26,4,-1.0047847,29.387186,,,
26,4,-0.8755980999999999,34.401115000000004,,,
26,4,-0.67464113,38.91365,,,
26,4,-0.6028708,44.094707,,,
26,4,-0.3875598,49.108635,,,
26,4,-0.25837319999999997,53.955433,,,
26,4,-0.10047847,59.303619999999995,,,
26,4,-0.01435407,60.97493000000001,,,
26,4,-0.05741627,62.980503000000006,,,
26,4,-0.043062199999999995,65.320335,,,
26,4,0.0,67.325905,,,
26,4,0.028708134,69.164345,,,
